Identifier,h_jkdz1,h_jkdz2,h_jkdz3,h_jkdz4,h_jkdz5,h_jkdz6,h_jkdz7,h_jkdz8,h_jkdz9,h_jkdz10,h_jkdz11,h_jkdz12,h_jkdz13,h_jkdz14,h_jkdz15,h_jkdz16,h_jkdz17,h_jkdz18,h_jkdz19,h_jkdz20,h_jkdz21,h_jkdz22,h_jkdz23,h_jkdz24,h_jkdz25,nc_jbdz11,nc_jbdz12,nc_jbdz13,nc_jbdz14,nc_jbdz15,nc_jbdz16,nc_jbdz17,nc_jbdz18,nc_jbdz19,nc_jbdz110,nc_jbdz111,nc_jbdz112,nc_jbdz113,nc_jbdz114,nc_jbdz115,nc_jbdz116,nc_jbdz117,nc_jbdz118,nc_jbdz119,nc_jbdz120,nc_jbdz121,nc_jbdz122,nc_jbdz123,nc_jbdz124,nc_jbdz125,ns_PT1,ns_PT2,ns_PT3,ns_PT4,ns_PT5,ns_PT6,ns_PT7,ns_PT8,ns_PT9,ns_PT10,ns_PT11,ns_PT12,ns_PT13,ns_PT14,ns_PT15,ns_PT16,ns_PT17,ns_PT18,ns_PT19,ns_PT20,ns_PT21,ns_PT22,ns_PT23,ns_PT24,ns_PT25,s_ZX1,s_ZX2,s_ZX3,s_ZX4,s_ZX5,s_ZX6,s_ZX7,s_ZX8,s_ZX9,s_ZX10,s_ZX11,s_ZX12,s_ZX13,s_ZX14,s_ZX15,s_ZX16,s_ZX17,s_ZX18,s_ZX19,s_ZX20,s_ZX21
C01607,680421.0,1483038.5,602342.5,1000730.188,1627122.375,3346824.0,1282033.625,1160969.25,3310750.0,739884.6875,1132433.0,770836.3125,905724.875,605332.875,853682.375,679087.0,393961.125,5146014.5,5194557.5,847955.8125,3553928.0,2225396.5,1798961.625,941515.5625,964878.5,629781.875,425620.7813,738003.75,741910.1875,465286.1563,2704120.0,723258.4375,19861634.0,856601.0,536960.875,363923.5625,749951.3125,790589.5625,868136.1875,799607.4375,531080.25,471641.4063,1917729.25,2422356.5,817569.25,442510.375,1067861.0,1040437.375,745563.875,460463.1563,1017268.375,607731.3125,605025.0,582476.9375,1310578.0,1380023.0,4140866.75,430258.25,444431.25,475822.6563,1048148.313,840046.375,595753.125,2569356.5,687358.0,921911.9375,1437262.25,446246.2813,527963.6875,563936.0,744272.125,558209.0,473286.3125,384779.7188,716978.125,2140832.0,695243.375,871893.6875,747925.8125,689660.75,788120.375,516134.9063,911798.0,434513.625,554501.875,301571.8125,376895.4688,270176.5313,542696.25,956615.125,554150.4375,581908.375,500345.0,1065649.125,435628.0,362126.875
C03340,,77433.2734,,,453366.2188,,,,170801.0,335320.0,,319372.0,,,868411.0,,,281149.1875,241333.7344,137970.2969,270677.9063,,1428415.125,1588716.75,2322460.75,255562.2813,689832.9375,,546493.25,341626.5,298076.3125,710055.6875,,359639.0,,636311.0,,281391.0,,494892.0313,282018.0,1589621.0,,276163.0625,889610.4375,,1495094.875,281966.5938,,235620.0,,,186118.3906,,242545.3438,522611.4375,,209727.1719,264902.5625,254579.0,158497.0,126774.0,,,578929.0,698750.0,,167168.5781,332592.0938,,,341626.5,,214372.375,299335.3438,568321.25,675436.3125,209507.1406,187940.0313,,391100.2188,746217.1875,133158.0,,347933.0313,243301.9844,765636.0625,514649.9688,,855308.6875,407488.9688,773532.6875,482405.1875,539622.0625,787535.9375,
C00408,629453.4375,914094.75,206875.2188,534197.5,504647.7188,464251.2188,364658.4063,623074.9375,404161.4375,636323.1875,1782641.0,393781.6563,875885.125,429492.0,877111.875,363803.375,317969.9688,1226124.125,481514.0,89958.0313,610111.5625,654563.9375,686543.375,1852028.25,1180063.125,108719.7813,2278744.0,1019347.438,935206.6875,398452.3125,1319739.0,606480.625,263720.9375,268737.0938,382239.0,1157023.0,786725.8125,738602.8125,144747.3281,,139786.9844,659746.625,328584.25,204274.6875,,605358.625,781316.0625,334721.0,213937.0469,625717.875,125137.4375,622724.5,2898464.25,63255.8281,320710.8125,260501.5781,297333.2188,146335.25,311295.5938,283302.5625,225768.1563,246893.3281,190195.4531,487355.7188,293237.0,215223.2344,219306.7188,1074419.5,269869.6875,421745.0625,352442.6875,307520.9375,684642.875,333179.6563,150721.8438,350432.4063,119258.4688,195569.4531,382239.0,,464730.0313,376809.25,155958.7031,729595.375,182569.1563,339312.3125,2123925.5,856858.6875,224431.2344,248682.9844,536664.375,85754.8516,145630.6563,,412035.3125,125713.1797
C03882,794752.125,,,,,176377.3125,,,,,,,,5926093.5,8953512.0,,,681239.625,366790.9688,497809.3125,,,2232953.5,,6546856.5,,,,6249795.5,,,,,,141453.2344,,610761.625,,,401052.5313,27863.2227,,2195010.25,,,1008580.875,,745970.375,,,,,,,713605.0,163560.0938,,136774.2813,,,102671.9844,,877100.5,816448.375,,187885.8438,3452195.0,,,,,,,130749.1719,,3050910.25,,,,,,,1201848.125,,,,,,,,,,,377145.0313,,
C18044,2671695.5,1385775.625,662543.5625,971223.8125,2503941.75,1386413.125,1592272.375,2699922.75,1421029.5,2217034.5,1980591.125,1628719.375,1285761.75,1575077.0,1171938.625,1838944.125,942955.875,2081330.25,1063529.25,1576883.125,1860693.125,2096319.5,582257.375,675311.6875,639667.5625,782470.25,1577009.625,400237.0,739346.3125,568723.4375,1728676.0,1573144.25,538872.375,3348308.75,1999993.125,1043141.0,831889.0,102888.7578,2007342.375,3051048.75,1585472.875,330244.5938,10421209.0,2762841.0,1649703.75,2224566.0,853642.0,3298083.75,482802.75,2103732.5,4273118.5,1008919.813,2491161.5,682713.5625,3727734.75,1561531.0,1247906.625,1687045.25,1445640.375,3152620.75,2319833.25,1296179.5,3619984.75,1079767.875,462582.4375,1956296.625,640120.5625,1846590.625,1685290.375,1500720.875,489452.125,849245.375,584724.125,288508.6875,426532.7813,3746033.75,1874196.75,7728078.5,2059810.5,3113429.75,944287.5,1951758.75,2879918.75,1028288.25,5232521.5,286793.75,1090090.75,116820.0156,,3259393.5,1037967.625,2519961.25,5153436.0,2904440.0,1573270.875,300208.5938
C00148,886560384.0,896657472.0,740653312.0,1483224064.0,1076750080.0,736787520.0,768686784.0,838731456.0,916303424.0,1263143040.0,861226880.0,1672871168.0,901404480.0,1050984192.0,1399655168.0,918550080.0,826925312.0,1204403968.0,732752960.0,952651008.0,1750185472.0,1316212352.0,1003079680.0,1252838400.0,610821440.0,713326656.0,822687552.0,880545344.0,1268189312.0,1363709312.0,825812672.0,855398144.0,712181888.0,943752896.0,743273536.0,660315712.0,1478934784.0,1119918976.0,1082824320.0,712075328.0,833091136.0,728548992.0,542166912.0,1027588160.0,975852160.0,1267117568.0,1069540480.0,861321728.0,814618560.0,1144816512.0,332446368.0,591026048.0,501709760.0,304449856.0,545099712.0,312321728.0,493462464.0,775334080.0,735035136.0,490220608.0,567739200.0,764733696.0,572165056.0,649577984.0,607931008.0,400838368.0,400590496.0,665862016.0,508321088.0,689391168.0,534376256.0,430048448.0,725154624.0,739069568.0,915430656.0,313073696.0,394454688.0,383954816.0,907338048.0,321643104.0,689687104.0,541344256.0,534476000.0,909248128.0,702244992.0,454305600.0,631990656.0,686071040.0,575305920.0,558379328.0,384527552.0,630690432.0,316012672.0,449750240.0,661786944.0,497702816.0
C20343,,,,37367.0313,48354.0977,,,40761.5313,,46358.0352,38293.9648,,60165.5234,33587.6641,47042.2266,38204.6016,,39693.8242,,,,,53115.9922,124416.7344,36701.6992,27019.7871,,39062.2148,42326.0,63687.8281,96655.8984,27201.4141,,,,,61750.5391,60028.3281,50435.207,,35477.7656,20367.7852,,,44958.1758,,,,,,,,72382.5391,,,,,31984.2617,38814.543,,,,,,25686.9668,,,,,,,,,,28608.627,,,,56436.5,60058.0352,56817.6445,,,,,,,,,,17886.4609,,,78031.8672,,
C01168,6264584.0,4664345.5,5005139.5,5387265.0,5984294.5,5064338.5,4059021.25,5212581.5,5196889.0,6640115.0,5301387.0,6162100.0,5492202.0,3929538.5,5138010.0,5003957.0,6520900.5,6746146.0,5008161.0,6306747.5,5965665.0,5391025.5,4697599.5,5177373.5,4720827.0,7773351.5,9199449.0,94030664.0,8275914.0,8680710.0,8851835.0,7151742.0,7552597.5,7677497.0,13221847.0,13701000.0,11907067.0,5572915.5,6227280.5,4604926.0,6570332.5,9129206.0,5476160.5,8025506.5,6968271.5,14862088.0,24901444.0,5090048.0,6692796.5,5531066.5,3892705.25,4998024.5,5889393.5,3430791.25,5583169.0,2708890.0,3125822.25,4912413.5,6051233.0,4815249.0,4185184.75,4393747.5,4297100.5,4566024.5,6436970.5,4883945.5,2491420.5,5857219.5,5022826.0,4871946.5,3272152.25,4205865.0,3537437.75,4898677.0,5240488.5,3566306.0,5902888.5,4460967.0,24515254.0,2511960.0,4227971.0,4117534.75,4007012.75,5485047.5,5784803.0,3424104.25,5298459.5,5749700.0,4629413.5,5157080.5,4443904.5,4762794.5,4147743.25,13697521.0,5359357.5,8879092.0
C00847,1885834.625,1327248.125,754816.375,1302947.875,1115117.125,1546409.0,1087340.75,1946416.125,1396067.125,1520846.375,905856.5,816154.25,1105019.5,1317898.375,1310912.25,2587214.25,1067237.0,1327317.125,1296230.0,2721970.25,1049570.5,921096.1875,1255867.875,2061996.125,1558420.5,1353830.25,651607.5,30864980.0,1881281.5,806595.8125,752984.0625,1407095.0,7642622.0,1214377.25,7362929.5,141670240.0,1762120.875,2840352.0,3795081.25,1344990.5,1675740.625,274442976.0,824977.8125,1740158.5,2265849.0,3701464.5,1530167.375,1127643.25,1108244.375,1407304.0,1396076.5,1327499.75,2798427.5,645116.3125,2408933.5,1054523.25,875136.1875,1105059.75,1198800.625,1026028.375,790399.625,1516263.125,1041022.625,831678.875,2164301.0,1502092.0,1336849.625,1631003.875,1590142.625,1088000.625,1052229.0,1188342.0,1327431.0,986795.8125,5402293.0,1483951.625,926129.5,941016.6875,10094063.0,554802.9375,18778090.0,136622016.0,894476.1875,4209105.5,1024536.688,823948.375,914349.375,574074.375,1150435.875,1865653.5,2813445.75,885712.0,896656.75,3067671.0,124377512.0,837456.5625
C00022,704381.375,3230495.0,1739491.25,2381318.0,1931072.5,566620.9375,1017061.125,696056.3125,874036.875,1113032.125,2295489.0,561263.3125,1191621.875,2198703.0,3424848.0,317504.0625,722326.0,813046.25,681224.5625,1909083.625,4749707.0,1743385.125,1969934.875,981778.4375,545898.0,1308330.375,,697764.625,2394542.25,3078575.5,,1204733.25,2551963.25,580162.875,2931439.75,613928.5,3801634.75,3434697.75,2081701.875,1327118.0,366669.7813,1154850.875,2272455.5,14090466.0,1428300.875,1966273.5,2741233.25,1108567.875,1068161.625,2519968.0,287016.4375,730787.625,992801.375,363200.375,406269.5,10681553.0,1136074.875,656585.9375,994267.625,373419.375,395666.75,511035.9063,399584.9375,180055.9375,609032.375,621868.125,7883882.5,993459.5,775883.625,688223.625,394491.0,316375.5313,573358.25,514234.8125,284883.5313,418568.75,1120081.75,270186.3438,339985.6875,245739.6094,800401.375,1609864.625,402049.75,3052076.25,1212953.75,735613.625,3659468.0,2555779.5,603343.5,939481.25,483629.3438,993609.5,397106.7188,1582735.0,1214044.0,1515314.5
C00296,729065.25,1142900.75,162861.3125,360144.3125,7553962.0,1664319.125,1974331.75,1154695.5,1828298.75,3093262.0,844363.4375,12422865.0,792887.875,3169269.5,3453703.0,661930.9375,1264555.875,2373293.0,450809.0,619869.625,3253922.0,258795.8281,329140.9688,7984416.0,338222.2188,647676.75,255965.5313,1727583.125,140663.2188,109182.7031,,826375.125,159137.5313,1125529.25,493103.125,112778.3359,3893440.0,157374.7031,288559.7188,408040.375,1195012.625,115487.3203,597561.5625,462007.375,1586433.375,346885.5313,6247451.5,6008852.0,2312752.75,209868.3594,1114977.375,450809.0,,101704.9375,74678.8125,152141.625,176468.0469,61235.4805,267001.5938,225975.0156,269688.3438,408514.8438,335615.0313,296159.75,686550.875,1014728.125,183793.6875,2628413.25,69951.7266,234509.4844,219823.3281,52465.332,411351.7813,749417.6875,59906.3164,18633944.0,142447.0625,1865002.25,2185333.0,,118871.0156,3435333.75,207290.2344,636858.5625,187149.125,872612.0,307390.875,292778.7188,164884.4688,529819.1875,,250388.9375,94928.2813,221657.6563,4243483.5,109035.7656
C03722,201618.3281,94230.0781,205665.4219,142045.2188,244261.9063,169576.9844,178699.7969,250796.5156,104980.5,229373.6875,273020.3125,736800.0,327593.4375,272484.1563,,70757.7188,329254.5313,122128.6641,183815.25,91283.3047,280100.0938,287765.9063,170326.9531,73092.8672,,386226.9375,1298202.375,17469610.0,767128.875,277628.1875,290081.375,2142985.75,343957.875,682736.5625,138882.2813,3318570.0,470762.625,330813.3125,,654480.8125,1181223.375,219478.3281,471032.0313,288786.9063,,1135532.0,5492743.5,68536.9766,453331.4063,242761.6875,208854.9844,126896.2344,413824.2188,,350126.7813,283933.0,60242.9063,554013.5625,428909.6563,526746.6875,294845.6875,496890.1563,339836.2188,70894.1094,131217.3906,91621.9063,38515.543,,,,,114211.7422,70369.2656,238029.2031,669425.5625,248768.5625,738191.0,270994.8438,2887427.75,194862.75,400593.6875,406643.3125,159153.875,180556.5469,110876.4375,327939.7188,539943.625,117790.5938,801269.0625,302766.4063,637775.8125,320011.7188,264402.8438,3945091.25,253338.75,331019.25
C00474,344884.9375,311473.375,343093.9375,279210.625,317038.7813,224571.0,250821.2188,381737.625,328139.8125,336998.5938,334838.9063,355323.9063,284099.7813,283255.0625,305290.1563,250884.7344,362725.875,384603.0313,261638.9375,281449.9063,437904.5313,295970.75,284621.25,334138.9063,349487.4063,447573.1875,820981.625,829814.8125,598101.375,708753.0,593041.3125,570352.8125,497994.0,468877.4063,463681.4063,671938.6875,820006.1875,347134.1563,383499.9688,599817.4375,517017.6563,241421.7188,319622.9688,346771.75,452439.9688,453055.375,1018981.438,363184.5,376716.0625,404421.8125,258265.7344,264730.75,299375.1563,166273.4844,276586.4063,250370.0781,182517.2969,316391.2188,365557.5313,236877.875,252884.6875,255899.7188,209345.0938,264847.2188,265786.875,403996.5313,153996.4375,371273.0625,264579.5,204843.7969,248350.7969,247619.5625,214938.1875,273432.4375,241406.3594,205362.9375,452791.8125,186848.5156,510963.3125,217104.8125,399532.6875,295160.4688,278784.875,300340.8438,424824.9375,296131.5,328283.5625,377202.8438,266870.2813,295226.8438,292941.5625,331812.7813,272646.6563,549330.3125,313807.0313,286622.2188
C01685,16783780.0,17626550.0,18581792.0,14937385.0,22468396.0,20332836.0,15543009.0,20459126.0,16747813.0,24007946.0,19900178.0,30774070.0,23657450.0,16675223.0,27109382.0,17171104.0,20243882.0,15847832.0,22717940.0,22679588.0,20769184.0,20136458.0,14140799.0,16593874.0,15322471.0,17315508.0,21601988.0,197994224.0,22394682.0,30819148.0,24490868.0,21858772.0,19033434.0,16681892.0,25156990.0,48559136.0,25809824.0,20785792.0,16082746.0,12036763.0,17079646.0,14811697.0,18136768.0,14942971.0,20994866.0,26762008.0,55939848.0,17896700.0,15229460.0,20692770.0,10972890.0,14709768.0,21743928.0,6723765.5,14028993.0,7916664.5,9595659.0,14778885.0,17175070.0,10895709.0,18127782.0,17319472.0,14599351.0,11159512.0,20825760.0,17680380.0,7349853.5,16071913.0,14040778.0,11718642.0,18046218.0,19371710.0,18528202.0,18105570.0,12241558.0,14780168.0,14518378.0,12039794.0,48306272.0,8020160.0,23599886.0,9852088.0,13076591.0,15448859.0,38680352.0,18054838.0,13322682.0,23382222.0,13488049.0,11008346.0,12995265.0,15766086.0,8787973.0,21167056.0,16307313.0,15267191.0
C00117,165959.375,,132010.4375,,133912.1406,167917.625,189804.7344,186691.4219,96963.4844,111189.9688,96961.1172,166938.5,,113733.6719,,197020.1563,,,97576.6328,,78303.1484,,76985.2813,,149752.8125,1019988.438,343456.75,1282740.0,116316.0156,428850.0938,141283.6406,96883.8203,145952.4688,356944.125,,131133.0781,482865.0313,,417131.125,456926.5938,424249.9063,115802.125,,,378279.9063,166938.5,110707.5469,96210.0547,193728.6094,149829.625,233046.0938,133848.7813,300479.0,283458.7188,,,73240.9609,107938.8047,117492.5625,497322.0313,106575.4297,69278.6875,109300.7344,136981.5781,102254.6016,564600.9375,,,,515329.8438,107750.5469,,102738.5156,250915.8906,,139500.7188,153345.4688,120782.3672,202209.3438,321224.625,229939.5625,612000.5625,,63692.3125,560074.875,168535.625,442490.0938,533478.8125,,924898.5625,48221.6406,955663.9375,225795.8125,758936.0625,569181.6875,173310.5469
C12283,122366.2734,84563.5703,105873.1953,92435.9297,338805.4063,,141406.7656,174662.4531,123210.7031,215204.0156,182731.8594,92164.4219,77320.8594,74995.0,111498.2578,248418.5781,,,,,,,,352860.375,,76474.2578,,,77940.2656,76000.9297,195085.6719,91545.1563,96031.9141,80997.1875,86342.0313,95340.0,173889.5156,111252.7188,165459.0156,153602.5313,183717.8906,77843.8438,34216.4375,,,,,,,51523.2227,890102.1875,81099.0703,89098.5391,114582.6484,66262.6484,79531.1719,335023.1563,78802.5469,361881.2188,69246.0859,89906.2266,391840.875,69145.5469,177422.7969,72692.3359,65714.7578,68135.3516,,,,,,139156.7656,,,110054.2578,94648.0859,86084.3516,162293.4531,151181.2031,,85634.0313,,63738.8359,210065.0781,58339.8633,300321.25,470024.0625,73445.3906,,,,,,,
C00213,4989762.5,4816277.5,2864022.0,3061333.0,4604646.5,3663196.0,3012534.75,4255976.5,6493434.5,6087875.5,3695049.75,6386084.5,3224624.5,3530887.75,3773809.0,12712367.0,4814711.5,3402008.5,3936736.0,4510550.0,7333292.5,5598656.5,6105507.5,7466245.5,5176365.0,3442572.25,3136233.75,10778003.0,13683796.0,7466724.5,6991866.0,6924450.5,2942670.75,8542949.0,2244005.0,9913684.0,8696563.0,3337713.25,3431021.0,1594304.0,3159042.25,1889717.75,4058573.5,4940913.5,6074827.5,5770816.5,30781408.0,2076507.125,2801112.0,5078645.5,2194236.5,3229149.5,3519336.75,1698503.875,2493391.5,3527923.75,2497531.0,4091781.25,5945957.5,3802794.5,1877242.125,3386178.25,2293118.5,3804339.75,2397161.5,1866855.625,4293300.0,3559900.75,1779106.5,2648077.5,1547581.0,3192761.75,3060582.5,4720832.0,3217682.25,1691857.25,2375804.25,2794827.0,6523836.5,1121925.125,4125105.5,2055663.75,2461982.25,6002389.0,3095824.0,1938556.5,4155524.0,5345414.0,1667704.25,3243598.5,1134393.375,1580474.75,795530.3125,984620.0,2381725.25,3024068.25
C00065,133122328.0,156263072.0,156287648.0,131533208.0,196042384.0,142558352.0,138183424.0,156853344.0,218855424.0,197844928.0,135614880.0,168683568.0,114639144.0,147965584.0,192432448.0,129454584.0,151510240.0,183886960.0,171602640.0,223576128.0,144964960.0,167942496.0,163936752.0,321339168.0,139376352.0,168155712.0,252176736.0,137047808.0,262015488.0,263856624.0,202844144.0,299985760.0,248928960.0,198308048.0,128457664.0,105340656.0,364124480.0,210904944.0,263383776.0,277140608.0,220374592.0,255585904.0,124921896.0,170525616.0,297347648.0,162373168.0,172078896.0,204359936.0,163390016.0,252262416.0,91321824.0,102196136.0,141782976.0,72229120.0,146641600.0,76091568.0,85339312.0,139794256.0,130231456.0,129093416.0,161367232.0,124950168.0,126238848.0,146872512.0,132445280.0,128749872.0,97955352.0,136202000.0,122968280.0,130195768.0,123515912.0,124707168.0,126794184.0,107809096.0,188373328.0,128180400.0,146002912.0,90422656.0,180807968.0,74993016.0,243113152.0,101720384.0,118534352.0,127846456.0,142420928.0,114021592.0,106013112.0,141920432.0,142555664.0,112911096.0,136296480.0,121573160.0,54332924.0,136721904.0,120012904.0,106156232.0
C00780,1061526.25,1619981.125,1212782.125,669441.875,1262844.125,381176.125,1426225.125,1470445.75,1158960.125,1639507.0,1866826.25,567877.5625,509660.5625,1422980.625,2412119.0,2910799.75,904762.5625,2789299.0,715623.5625,390296.1875,782968.625,802904.5,953255.5,704744.6875,969909.375,1038136.0,657887.1875,,2172195.75,,,365861.8438,2772704.25,452379.0313,1530361.5,97813.7813,486702.25,2762426.25,749061.9375,561372.6875,842639.25,223297.4688,324222.2188,2562061.0,958968.4375,380191.5,,1097027.75,596594.3125,180741.125,1022751.688,864452.125,170162.4688,220309.0,336943.5625,,542813.5,286278.7188,1012800.625,609822.75,958691.8125,951348.5625,937441.0625,394652.0313,446026.0938,389159.1875,,293293.5,622584.3125,1142444.625,717742.0625,143137.1406,1313012.375,332552.4063,1009525.25,141788.1094,231829.5,276477.9063,550823.75,199347.1406,996132.9375,396569.0,497086.0313,202544.75,717506.25,,298220.3438,982539.875,368035.25,465433.7188,51844.5508,463582.25,,173002.4531,554229.5625,102068.5
C05319,1233911.5,1803025.375,,1507733.0,355324.5938,6102589.0,3717683.25,2859522.25,1190786.375,516717.125,,369007.0938,3047238.5,627916.3125,2403812.75,1670509.25,286150.8125,384539.9375,488117.9375,2227732.5,65542.625,144210.875,1317903.75,32517704.0,9413423.0,,3525106.0,,306897.7813,,398345.0,359001.2188,,,88075.9844,,323147.9688,,81666.625,,256545.4531,,78718.4063,,,519745.1875,,491353.8125,278152.875,1228466.375,208200.2969,2179270.25,362254.5938,,320467.0938,,612754.0,128352.2031,1776766.5,,59742.668,347868.375,2527149.75,455496.5625,1946068.125,1723082.25,,,,225088.9688,723477.0,,1283312.125,3001640.25,,213314.7188,,1119167.75,377919.25,,,210506.6406,161288.1875,,,,929304.125,494381.875,,1330011.875,,,,,264847.4688,
C00315,82509.5,,,34894.75,146483.7344,,,141202.9063,152638.7031,,169389.5625,59581.1719,117672.3516,283163.9688,389099.7813,,,401742.4688,632142.6875,126187.6328,,204890.125,,73975.8984,125990.7969,336994.25,835565.5,231660.625,244825.4375,885482.8125,404661.125,304761.3438,133100.0625,613116.1875,371910.6563,190548.125,5217200.0,161074.6719,128729.6563,452251.3438,492571.0625,197465.2813,596576.0,101154.4453,1321765.0,150673.6406,311055.9063,115122.1875,358733.2188,328243.4688,115646.3516,,67542.3672,,173046.5,,,,,288661.4688,159725.375,159061.1094,92220.2734,163488.4219,327268.5938,94051.6172,173046.5,271967.125,211958.9375,111099.7656,96457.1406,183670.7969,,,329091.75,,165970.5,,,,273843.875,,150421.0156,162328.25,159988.3281,,251680.4063,225423.375,340891.875,329039.0313,144241.0625,162422.1875,,50688.5391,151390.7188,127048.8359
C00836,570082.6875,,471058.25,,557005.8125,,230155.0156,181443.2813,333687.3438,364950.7188,263385.875,295142.125,196909.7188,318989.1563,472386.5313,104248.25,308361.4688,676822.875,265075.5938,405332.4688,480763.5,554285.0,316678.6563,313896.875,290853.9688,233655.0469,,,,321458.8125,,,,311316.0313,536687.1875,,912740.3125,301714.75,225038.1719,567852.75,465256.125,,489953.8125,,123111.5156,,328183.3125,821134.0,253458.375,107146.9375,1110387.625,,,,,170265.625,,311772.2813,,,630730.375,117679.4922,97467.7344,,452409.9063,,89182.3125,217806.25,,,264912.2188,210619.0156,279264.0,180111.1563,225980.9531,,,246755.7031,,,202245.4375,,154893.8125,79237.7422,81016.3438,,123022.8281,239688.4063,122949.4688,,202002.3281,,,,,271215.4375
C00195,755248.0625,415420.0938,858791.0,440388.5938,1068553.75,202765.7656,503906.7813,579111.8125,1224232.25,1279884.0,1142711.5,1048947.25,648292.875,1458270.5,1194893.875,227497.3125,1289763.375,2614994.5,818981.75,2062929.375,1867623.75,2084610.875,1079237.0,669282.875,628779.0625,459298.5,1426215.0,,731327.3125,718629.8125,254662.1875,,965871.8125,673711.4375,1230265.625,,3007118.25,641802.4375,746255.5,1648998.125,864534.6875,1003690.563,1233651.5,358968.75,770818.9375,433749.6875,985220.6875,2023480.5,459099.4688,467453.0625,787988.8125,,,,,,167044.6719,545069.1875,,411622.8125,1384668.25,233585.2656,232600.1563,185804.8594,1246580.875,209303.8438,318716.1875,592802.0625,239433.2813,316911.7813,712717.125,1332919.375,643207.1875,481542.5,774203.625,,,748897.1875,,,691000.0,,,210279.5625,321218.3438,708288.5625,312349.5938,477389.375,445244.0,474145.625,898292.8125,414335.3125,198409.6094,485022.0,273048.2188,1344150.5
C01120,1072229.625,1243205.625,980357.1875,943592.875,1281395.25,796931.75,1235402.125,1272088.125,1049985.25,993257.5,923331.0625,756350.375,656755.6875,1165123.75,937805.25,330012.4063,1095358.5,1376975.5,962425.5625,1375508.0,986999.125,1108080.25,973186.125,866690.125,1000320.438,805480.875,366447.6563,256246.8906,714191.125,545071.6875,325206.8438,570122.75,802695.9375,834195.1875,711030.875,277244.2813,794307.3125,585831.0,607187.375,595643.3125,729904.3125,335969.5313,942140.0625,696848.6875,877956.9375,522794.9688,231308.0469,521871.0938,603250.0,844872.75,618460.25,465598.4375,522849.4063,469564.4063,424750.2188,843742.5,473408.25,622694.5625,456008.1875,592939.6875,409574.2813,507480.25,396557.3438,478224.125,682883.3125,374715.5938,568859.3125,494276.4063,291075.375,492982.5313,443071.5938,410364.7813,363277.5625,585333.0,785981.625,302007.1875,301235.5,324259.7188,647320.6875,229227.4219,646001.8125,380773.5,404164.1563,288566.5938,672266.1875,300051.0313,504023.5938,673963.8125,570190.5625,552695.75,276054.8125,630187.875,224544.4844,382497.8125,423227.7813,515308.0625
C08283,408230624.0,369356640.0,92547552.0,44901560.0,209532224.0,230937584.0,58065344.0,242372656.0,495383872.0,363145696.0,56754260.0,152627744.0,57611968.0,244123648.0,203912160.0,616061056.0,394992416.0,250244672.0,426073920.0,539511616.0,148969952.0,120343320.0,117246920.0,223505344.0,429689856.0,191804240.0,126085152.0,183676624.0,115836840.0,57253324.0,167019408.0,107588656.0,264741808.0,23093846.0,904143232.0,198924688.0,21448698.0,554700736.0,760741760.0,39814176.0,127161568.0,105477768.0,156859792.0,181220112.0,11703810.0,173991584.0,240859312.0,170568544.0,93518928.0,214745392.0,402600736.0,266219248.0,177540720.0,203758624.0,180642976.0,156695648.0,56411644.0,9734839.0,119397360.0,102859112.0,53402620.0,293225344.0,192297968.0,601839104.0,191932384.0,37405668.0,69591504.0,214060656.0,12678320.0,129180872.0,7625409.0,186009600.0,240028768.0,252476112.0,7356029.5,128504904.0,83920152.0,77873176.0,1063763456.0,51707948.0,308591168.0,522592768.0,325059616.0,30344288.0,145260528.0,1075997440.0,274567232.0,123924680.0,98194224.0,77238728.0,17028618.0,66303516.0,23399462.0,162530448.0,629113664.0,476299680.0
C00042,8102679.0,6525031.0,5298627.0,5198890.0,11184273.0,4126764.25,7061330.0,5560022.5,9519024.0,8560096.0,7157761.5,7355829.5,8436958.0,10290329.0,7109989.5,4626970.5,8517690.0,8378584.0,10573202.0,8873255.0,9005817.0,15012538.0,7946976.5,7056620.5,5937291.0,6988241.5,19615586.0,15145683.0,14351973.0,6956407.5,8080925.5,6578218.0,6861516.0,7339464.5,9056014.0,8749133.0,9892964.0,4490150.0,6761537.5,15557791.0,7948862.5,4652194.5,7742423.5,6745684.0,8604304.0,6527257.0,5695510.5,8209733.0,7505482.5,4856967.5,7702135.5,6549414.5,4953399.5,3342374.5,4895794.0,3906252.0,5462151.5,8423042.0,5330556.5,4310404.0,7898203.0,5071904.0,4145816.75,5182606.0,8947452.0,6653214.5,3965071.75,7245591.0,6759061.0,6568825.0,5022602.5,4134898.25,6586513.5,5822250.0,4381110.5,7027070.0,5913841.5,8236679.0,10517058.0,3035259.0,8927761.0,6995752.0,7056385.5,4622712.0,6394428.0,6057705.0,4020595.25,5575433.0,5336031.0,6761302.0,7113986.5,6436513.0,3260264.5,48417108.0,8163152.5,5925672.0
